ECG1,ECG2
-0.065,-0.055
-0.055,-0.045
-0.055,-0.045
-0.045,-0.045
-0.035,-0.045
-0.035,-0.035
-0.025,-0.035
-0.025,-0.035
-0.015,-0.025
-0.005,-0.025
0.005,-0.025
0.015,-0.015
0.035,-0.005
0.035,-0.005
0.055,-0.005
0.075,0.005
0.105,0.015
0.115,0.025
0.135,0.035
0.155,0.045
0.165,0.055
0.175,0.055
0.195,0.055
0.205,0.055
0.195,0.065
0.175,0.055
0.125,0.025
0.075,0.005
0.025,-0.005
-0.015,-0.035
-0.055,-0.055
-0.075,-0.075
-0.085,-0.075
-0.105,-0.085
-0.115,-0.095
-0.115,-0.105
-0.105,-0.095
-0.115,-0.095
-0.115,-0.095
-0.105,-0.105
-0.105,-0.095
-0.115,-0.095
-0.105,-0.095
-0.105,-0.105
-0.105,-0.105
-0.105,-0.085
-0.105,-0.095
-0.105,-0.105
-0.095,-0.095
-0.085,-0.095
-0.085,-0.095
-0.095,-0.095
-0.095,-0.095
-0.085,-0.095
-0.095,-0.085
-0.095,-0.105
-0.095,-0.095
-0.105,-0.095
-0.105,-0.095
-0.105,-0.105
-0.095,-0.095
-0.115,-0.105
-0.105,-0.095
-0.105,-0.105
-0.105,-0.095
-0.105,-0.105
-0.105,-0.105
-0.085,-0.105
-0.075,-0.095
-0.065,-0.085
-0.055,-0.085
-0.045,-0.085
-0.035,-0.065
-0.005,-0.065
-0.005,-0.055
-0.015,-0.065
-0.015,-0.065
-0.065,-0.085
-0.075,-0.085
-0.095,-0.095
-0.105,-0.095
-0.115,-0.105
-0.115,-0.115
-0.125,-0.125
-0.115,-0.115
-0.125,-0.115
-0.125,-0.125
-0.125,-0.125
-0.115,-0.115
-0.115,-0.115
-0.115,-0.125
-0.105,-0.125
-0.095,-0.115
-0.165,-0.115
-0.035,-0.115
0.355,-0.115
0.885,-0.045
1.055,-0.005
0.415,-0.105
-0.225,-0.295
-0.395,-0.425
-0.165,-0.375
-0.055,-0.155
-0.065,-0.065
-0.075,-0.055
-0.075,-0.065
-0.075,-0.065
-0.075,-0.065
-0.065,-0.055
-0.075,-0.055
-0.065,-0.065
-0.055,-0.055
-0.045,-0.055
-0.025,-0.045
-0.035,-0.045
-0.025,-0.045
-0.015,-0.035
-0.015,-0.025
0.005,-0.035
0.015,-0.025
0.025,-0.015
0.045,-0.015
0.055,-0.005
0.075,-0.005
0.095,0.015
0.105,0.025
0.125,0.035
0.155,0.045
0.175,0.055
0.195,0.065
0.205,0.055
0.205,0.065
0.215,0.065
0.185,0.055
0.155,0.045
0.115,0.005
0.065,-0.005
0.015,-0.035
-0.035,-0.055
-0.065,-0.085
-0.085,-0.095
-0.105,-0.105
-0.115,-0.115
-0.125,-0.115
-0.115,-0.115
-0.125,-0.115
-0.115,-0.125
-0.115,-0.125
-0.115,-0.125
-0.115,-0.115
-0.115,-0.115
-0.105,-0.125
-0.105,-0.125
-0.105,-0.115
-0.095,-0.125
-0.105,-0.115
-0.095,-0.115
-0.105,-0.115
-0.095,-0.115
-0.085,-0.105
-0.095,-0.105
-0.085,-0.115
-0.095,-0.115
-0.095,-0.115
-0.095,-0.105
-0.105,-0.115
-0.095,-0.125
-0.105,-0.125
-0.105,-0.115
-0.105,-0.115
-0.105,-0.125
-0.105,-0.125
-0.105,-0.115
-0.115,-0.125
-0.115,-0.125
-0.105,-0.125
-0.105,-0.125
-0.105,-0.125
-0.095,-0.125
-0.075,-0.125
-0.055,-0.115
-0.055,-0.105
-0.055,-0.095
-0.035,-0.095
-0.025,-0.085
-0.005,-0.085
-0.005,-0.085
-0.015,-0.085
-0.015,-0.095
-0.065,-0.095
-0.075,-0.115
-0.095,-0.115
-0.105,-0.125
-0.115,-0.125
-0.115,-0.135
-0.115,-0.135
-0.115,-0.135
-0.115,-0.135
-0.115,-0.135
-0.115,-0.145
-0.105,-0.135
-0.105,-0.135
-0.095,-0.135
-0.105,-0.135
-0.115,-0.135
-0.145,-0.125
0.055,-0.135
0.515,-0.105
1.055,-0.045
0.945,-0.045
0.305,-0.195
-0.335,-0.375
-0.275,-0.445
-0.085,-0.265
-0.065,-0.095
-0.075,-0.065
-0.075,-0.065
-0.075,-0.075
-0.075,-0.075
-0.075,-0.075
-0.065,-0.065
-0.075,-0.065
-0.055,-0.065
-0.055,-0.065
-0.035,-0.055
-0.035,-0.055
-0.025,-0.045
-0.025,-0.055
-0.005,-0.035
-0.015,-0.035
0.005,-0.025
0.025,-0.025
0.035,-0.015
0.055,-0.005
